Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code
Russia,2019,Grains & Cereals,14994.51,16037.43,93.43,187.34,56.85,17.549999999999997,Europe,Unknown,93.43,85.60601046226112,37486275.0,0.2000975499092559,1,0,0,1,41.5,1268.5751135195585,0.8090169943749413,3287.8169999999996,187.34,85606.01046226113,80.03901996370236,1.0695534565651028,29572.683333333334,30156.173333333336,0.020962947216873355,0.02311025353143148,33.07948033877798,12,5,3,2,RUS
South Africa,2024,Bakery Items,15262.77,14992.95,190.44,1284.1,47.19,17.549999999999997,Africa,Unknown,190.44,11.675843002881397,38156925.0,0.029714917062534072,6,0,1,6,226.5,1271.7167061731484,-0.8090169943750019,22535.954999999994,7704.599999999999,11675.843002881396,11.885966825013629,0.9823216886580877,20476.173333333336,19871.763333333332,0.01575206164134786,0.015302324750646188,49.4602227240869,14,0,0,2,ZAF
Russia,2024,Meat & Seafood,45746.48,52728.75,75.63,311.69,50.13,17.549999999999997,Europe,Unknown,75.63,169.1704899098463,114366200.00000001,0.3669229041676025,6,0,1,6,219.0,1271.7167061731484,-0.8090169943750019,5470.159499999999,1870.1399999999999,169170.4899098463,146.76916166704098,1.152629666807151,36442.763333333336,39772.4,0.053714958772152765,0.06250115421850357,27.816625749943853,12,6,3,2,RUS
UK,2020,Prepared Food,44256.46,43115.91,197.67,47.78,56.49,17.549999999999997,Europe,Unknown,197.67,902.3840519045626,110641150.0,2.3156372959397236,2,1,0,2,74.5,1269.2034320502764,1.0,838.5389999999999,95.56,902384.0519045626,926.2549183758895,0.9742286210871814,25390.76,25759.00666666667,0.056323584692153046,0.0565551765527069,0.0,18,7,3,2,GBR
Russia,2018,Frozen Food,46669.86,51765.4,20.85,724.49,32.07,17.549999999999997,Europe,Unknown,21.7197,71.45081367582713,116674650.0,0.16104383773413022,0,0,0,0,13.5,1267.9467949888406,0.3090169943749612,12714.799499999997,0.0,71450.81367582713,64.41753509365209,1.1091826716428976,35803.61666666667,40177.193333333336,0.0770445420315556,0.08281612650219557,54.777369735952185,12,3,3,2,RUS
Brazil,2022,Frozen Food,4987.56,4933.79,144.57,459.48,57.33,17.549999999999997,America,Unknown,144.57,10.737768782101506,12468900.000000002,0.02713698093496997,4,1,0,4,164.0,1270.4600691117123,0.30901699437502833,8063.873999999999,1837.92,10737.768782101506,10.854792373987987,0.989219177313155,26662.440000000002,26557.47333333333,0.007250843410139884,0.007522677936058908,51.76645455732567,2,3,1,2,BRA
South Africa,2023,Bakery Items,24515.74,28891.78,150.78,514.75,56.84,17.549999999999997,Africa,Unknown,150.78,56.12779018941233,61289350.00000001,0.11906624575036427,5,0,1,5,188.5,1271.0883876424302,-0.30901699437484287,9033.8625,2573.75,56127.79018941233,47.626498300145705,1.1784992009215303,27968.846666666668,28956.043333333335,0.030443720567094688,0.035768318227153546,22.856025254978142,14,0,0,2,ZAF
Mexico,2018,Grains & Cereals,25406.19,23066.9,85.49,513.48,53.52,10.89,America,Northern Hemisphere,85.49,44.922684427825814,63515475.0,0.12369610306146296,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,5591.797200000001,0.0,44922.684427825814,49.47844122458518,0.9079244073983546,20881.569999999996,19773.81666666667,0.024489882200267685,0.0226236451021538,39.780900482978886,11,5,1,0,MEX
South Korea,2019,Dairy Products,36269.09,36585.01,106.24,1033.53,47.25,22.01,Asia,Northern Hemisphere,106.24,35.39811132719902,90672724.99999999,0.08773110117751781,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,22747.995300000002,1033.53,35398.11132719902,35.09244047100713,1.0087104473809518,24593.346666666668,26877.930000000004,0.03893302082511586,0.038780468086110916,39.856883767283,15,2,2,0,KOR
South Korea,2020,Frozen Food,28400.85,25628.63,148.97,72.19,47.92,22.01,Asia,Northern Hemisphere,148.97,355.01634575425965,71002125.0,0.9835451586092256,2,1,0,2,90.0,1269.2034320502764,1.0,1588.9019,144.38,355016.3457542597,393.41806344369024,0.9023895411580992,23487.073333333334,22808.00333333333,0.038477220690359845,0.03533499963146507,0.2746666666666675,15,3,2,0,KOR
Mexico,2020,Meat & Seafood,39391.77,46155.48,117.33,1364.5,34.17,10.85,America,Northern Hemisphere,117.33,33.82592891168927,98479424.99999999,0.07217253572737266,2,1,0,2,80.5,1269.2034320502764,1.0,14804.824999999999,2729.0,33825.92891168927,28.869014290949064,1.1717036325100396,32288.82333333333,33094.92666666667,0.05962464318207098,0.06917382285939443,39.012201172590686,11,6,1,0,MEX
South Korea,2019,Dairy Products,46537.2,54095.34,71.02,164.0,66.84,22.01,Asia,Northern Hemisphere,71.02,329.84963414634143,116343000.0,0.7094085365853658,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,3609.6400000000003,164.0,329849.6341463414,283.76341463414633,1.16241071658802,37069.04666666667,38769.659999999996,0.04995531392551018,0.057341588986235585,21.06133333333333,15,2,2,0,KOR
Turkey,2023,Dairy Products,9784.34,10088.25,43.8,201.24,42.26,17.549999999999997,Europe,Unknown,43.8,50.130441264162194,24460850.0,0.12155063605645001,5,0,1,5,197.0,1271.0883876424302,-0.30901699437484287,3531.7619999999997,1006.2,50130.4412641622,48.620254422580004,1.031060858473847,32344.883333333342,35014.14000000001,0.010024873712138192,0.01051667548646524,51.026961836613,17,2,3,2,TUR
Australia,2020,Bakery Items,18268.34,19207.28,80.37,118.97,30.59,46.82,Oceania,Southern Hemisphere,80.37,161.44641506262082,45670850.0,0.38388543330251323,2,1,0,2,75.0,1269.2034320502764,1.0,5570.1754,237.94,161446.41506262083,153.5541733210053,1.051397116541514,29687.873333333333,27609.876666666663,0.024482985800816016,0.026350977946307676,25.534874001849207,1,0,4,1,AUS
India,2020,Grains & Cereals,29742.34,32808.63,128.84,456.26,65.8,5.23,Asia,Northern Hemisphere,128.84,71.907749967124,74355850.0,0.16296815412264937,2,1,0,2,107.5,1269.2034320502764,1.0,2386.2398000000003,912.52,71907.74996712401,65.18726164905975,1.1030951162551432,28811.533333333344,30591.956666666676,0.027104210982263437,0.029580303689974646,25.864577419307704,7,5,2,0,IND
South Africa,2019,Grains & Cereals,44080.31,47663.04,191.1,789.92,32.31,7.55,Africa,Southern Hemisphere,191.1,60.33907231112012,110200775.0,0.13950877937006279,1,0,0,1,50.5,1268.5751135195585,0.8090169943749413,5963.896,789.92,60339.07231112012,55.803511748025116,1.081277332214769,27952.940000000002,30515.92333333333,0.046889221472393536,0.05070536925399117,21.629473237796233,14,5,0,1,ZAF
Australia,2024,Prepared Food,43312.69,36537.57,125.0,275.28,44.99,17.549999999999997,Oceania,Unknown,125.0,132.72874891020052,108281725.0,0.39335122420807905,6,0,1,6,212.0,1271.7167061731484,-0.8090169943750019,4831.163999999999,1651.6799999999998,132728.74891020052,157.34048968323165,0.8435765592023954,29210.473333333328,27238.243333333332,0.050403116099270596,0.043199973099311534,13.06559321418192,1,7,4,2,AUS
Indonesia,2019,Fruits & Vegetables,49686.06,52016.48,59.91,363.46,53.82,6.77,Asia,Southern Hemisphere,59.91,143.11473064436254,124215150.0,0.3417574148462004,1,0,0,1,45.5,1268.5751135195585,0.8090169943749413,2460.6241999999997,363.46,143114.73064436254,136.70296593848016,1.0469028938901577,34726.196666666656,35265.37666666667,0.0854805758761258,0.08954276014663698,33.518555109227975,8,4,2,1,IDN
USA,2022,Beverages,506.76,489.15,149.12,569.0,59.39,17.549999999999997,America,Unknown,149.12,1.3580268354685952,1266900.0,0.003364653069297164,4,1,0,4,156.5,1270.4600691117123,0.30901699437502833,9985.949999999999,2276.0,859.6660808435852,0.8906151142355009,0.9652498224011367,24392.133333333328,25802.920000000002,0.0004085882943855924,0.00039747151076325053,59.456324838898645,19,1,1,2,USA
Russia,2019,Beverages,27203.4,22480.38,144.08,1248.59,38.87,17.549999999999997,Europe,Unknown,144.08,18.00461320369377,68008500.0,0.054468240174917304,1,0,0,1,41.5,1268.5751135195585,0.8090169943749413,21912.754499999995,1248.59,18004.613203693767,21.787296069966924,0.8263812611658836,39873.24666666667,42324.84333333334,0.038031482077073055,0.03239467179485252,44.8071123534013,12,1,3,2,RUS
Indonesia,2024,Grains & Cereals,20707.63,22686.73,165.69,1269.47,39.46,17.549999999999997,Asia,Unknown,165.69,17.87102491590979,51769075.00000001,0.04078006963535964,6,0,1,6,227.5,1271.7167061731484,-0.8090169943750019,22279.1985,7616.82,17871.024915909788,16.312027854143857,1.0955734673644448,28752.479999999992,29819.61,0.024405683641719297,0.027329879145009724,44.149927134946076,8,5,2,2,IDN
Argentina,2020,Grains & Cereals,3823.19,3899.25,75.29,477.68,40.53,15.81,America,Southern Hemisphere,75.29,8.162891475464747,9557975.0,0.020009158851113717,2,1,0,2,94.5,1269.2034320502764,1.0,7552.120800000001,955.36,8162.891475464747,8.003663540445487,1.0198943813935484,15948.626666666663,15846.903333333334,0.003658814397100993,0.003595120030125156,72.59994852900128,0,5,1,1,ARG
India,2022,Grains & Cereals,8699.68,8021.62,44.52,760.48,68.35,17.549999999999997,Asia,Unknown,44.52,10.548101199242582,21749200.0,0.02859930570166211,4,1,0,4,176.5,1270.4600691117123,0.30901699437502833,13346.423999999997,3041.92,10548.101199242583,11.439722280664844,0.9220592021775513,20048.160000000007,20333.706666666672,0.00934635756416239,0.00879582007917249,78.50096575846834,7,5,2,2,IND
Saudi Arabia,2023,Prepared Food,3605.46,4044.41,45.06,485.01,45.71,17.549999999999997,Asia,Unknown,45.06,8.33881775633492,9013650.0,0.018584462176037608,5,0,1,5,181.5,1271.0883876424302,-0.30901699437484287,8511.925499999998,2425.05,8338.81775633492,7.433784870415043,1.121745907595702,14046.996666666666,16182.36,0.003999284014287902,0.004416621144443913,80.61481895218657,13,7,2,2,SAU
Indonesia,2020,Fruits & Vegetables,20714.29,18866.53,33.3,1197.61,58.27,6.77,Asia,Southern Hemisphere,33.3,15.753484022344503,51785725.00000001,0.0432408922771186,2,1,0,2,79.5,1269.2034320502764,1.0,8107.819699999999,2395.22,15753.484022344503,17.29635691084744,0.9107978115590734,30369.32666666666,31189.913333333334,0.01920608368708029,0.017583602737980635,76.7104334466145,8,4,2,1,IDN
Germany,2018,Bakery Items,42064.33,49659.0,77.1,736.15,41.98,20.23,Europe,Northern Hemisphere,77.1,67.45771921483393,105160825.00000001,0.14285244175779394,0,0,0,0,21.0,1267.9467949888406,0.3090169943749612,14892.3145,0.0,67457.71921483392,57.14097670311757,1.180548935404415,23048.940000000002,25312.95666666667,0.041276262949634115,0.04959659359820725,40.86885349453237,6,0,3,0,DEU
Spain,2020,Bakery Items,32115.2,30832.53,109.72,505.72,51.29,13.48,Europe,Northern Hemisphere,109.72,60.9675907616863,80288000.0,0.15875978802499408,2,1,0,2,99.0,1269.2034320502764,1.0,6817.105600000001,1011.44,60967.590761686304,63.50391520999762,0.9600603452570745,31768.35666666666,31779.74333333333,0.030449946908954254,0.029797300562896627,31.215746051833687,16,0,3,0,ESP
Brazil,2018,Frozen Food,11715.38,11968.61,176.68,220.04,49.92,18.28,America,Southern Hemisphere,176.68,54.39288311216143,29288449.999999996,0.1331051172514088,0,0,0,0,20.5,1267.9467949888406,0.3090169943749612,4022.3312,0.0,54392.88311216143,53.24204690056353,1.0216151759481982,21498.25,21463.833333333336,0.011344702729236806,0.011680708681508731,22.013692964915467,2,3,1,1,BRA
Spain,2019,Dairy Products,2135.08,1776.23,69.37,330.04,49.02,13.48,Europe,Northern Hemisphere,69.37,5.381862804508544,5337700.0,0.016172888134771544,1,0,0,1,55.5,1268.5751135195585,0.8090169943749413,4448.939200000001,330.04,5381.862804508544,6.469155253908617,0.8319266725368605,26438.879999999994,25393.416666666657,0.002164859218903244,0.00182072315745662,76.49456294186562,16,2,3,0,ESP
France,2018,Prepared Food,19421.9,17445.45,111.15,128.27,64.63,17.61,Europe,Northern Hemisphere,111.15,136.00569112029314,48554750.0,0.3785355110314181,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,2258.8347,0.0,136005.69112029314,151.41420441256724,0.8982360119246829,29436.373333333337,32812.473333333335,0.021454850022955108,0.02009775632915246,17.647869338114916,5,7,3,0,FRA
Brazil,2024,Prepared Food,29820.2,30839.88,93.78,76.33,59.04,17.549999999999997,America,Unknown,93.78,404.0335385824709,74550500.0,0.9766867548801258,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,1339.5914999999998,457.98,404033.5385824709,390.6747019520503,1.0341942709975118,15507.713333333333,15914.093333333338,0.031589102891914245,0.03322711138993933,14.992000000000003,2,7,1,2,BRA
South Korea,2020,Dairy Products,8609.98,7648.11,94.45,578.26,59.43,22.01,Asia,Northern Hemisphere,94.45,13.226074776052295,21524949.999999996,0.03722365371978002,2,1,0,2,90.0,1269.2034320502764,1.0,12727.5026,1156.52,13226.074776052295,14.889461487912012,0.8882842933433063,27849.343333333338,29124.026666666658,0.011664724844488264,0.01054469021681628,62.66035802810731,15,2,2,0,KOR
USA,2021,Bakery Items,30491.0,28714.08,75.76,574.67,62.53,17.549999999999997,America,Unknown,75.76,49.966206692536595,76227500.0,0.13264569231036943,3,1,0,3,119.5,1269.8317505809944,0.8090169943749828,10085.458499999997,1724.0099999999998,49966.206692536594,53.058276924147776,0.9417231314158276,21537.05,22805.753333333338,0.0433459348490313,0.040741983894404074,41.838591794711164,19,0,1,2,USA
South Korea,2020,Bakery Items,15541.27,14218.52,190.16,538.98,40.12,22.01,Asia,Northern Hemisphere,190.16,26.38042227911982,38853175.0,0.07208648743923708,2,1,0,2,90.0,1269.2034320502764,1.0,11862.949800000002,1077.96,26380.42227911982,28.83459497569483,0.91488790813106,23562.81666666667,25320.656666666662,0.02105517530631896,0.019603521489832996,35.889494044305906,15,0,2,0,KOR
Turkey,2021,Bakery Items,41832.89,34209.76,185.19,694.63,50.09,17.49,Europe,Northern Hemisphere,185.19,49.24889509523056,104582225.0,0.15055817485567857,3,1,0,3,129.0,1269.8317505809944,0.8090169943749828,12149.078699999998,2083.89,49248.89509523056,60.22326994227142,0.8177718536778119,31143.206666666676,30371.380000000005,0.048122686865556034,0.04125227793517504,20.966509508659286,17,0,3,0,TUR
Spain,2023,Beverages,12867.49,11675.71,143.76,1362.94,30.38,17.549999999999997,Europe,Unknown,143.76,8.566561990990065,32168725.0,0.0236024513184733,5,0,1,5,216.0,1271.0883876424302,-0.30901699437484287,23919.596999999998,6814.700000000001,8566.561990990065,9.44098052738932,0.9073805380847391,15705.92333333333,14761.489999999996,0.012672103025247704,0.011436669539520487,53.822931427649046,16,1,3,2,ESP
Mexico,2019,Meat & Seafood,37194.78,43703.78,68.81,775.2,48.2,10.85,America,Northern Hemisphere,68.81,56.37742518059855,92986950.0,0.11995220588235295,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,8410.92,775.2,56377.42518059855,47.98088235294117,1.1749976744048494,33997.579999999994,37642.05333333334,0.04799955958094944,0.057227448420104486,44.45353431372549,11,6,1,0,MEX
Mexico,2019,Frozen Food,3993.22,3454.43,151.18,157.71,43.83,10.85,America,Northern Hemisphere,151.18,21.90368397691966,9983050.0,0.0633000443852641,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,1711.1535000000001,157.71,21903.68397691966,25.320017754105635,0.8650738000911545,26859.92333333333,31104.563333333335,0.0051532177716829865,0.0045233665061892026,39.774234354194405,11,3,1,0,MEX
Italy,2021,Dairy Products,31182.53,31161.02,183.17,133.34,36.0,11.85,Europe,Northern Hemisphere,183.17,233.6959652017399,77956325.0,0.584643205339733,3,1,0,3,111.5,1269.8317505809944,0.8090169943749828,1580.079,400.02,233695.96520173992,233.8572821358932,0.999310190674073,33019.22,34363.439999999995,0.03574304559295177,0.035871917501895126,0.0,9,2,3,0,ITA
India,2024,Prepared Food,35856.35,42291.85,177.24,989.02,45.6,17.549999999999997,Asia,Unknown,177.24,42.76136984085256,89640875.0,0.09063605892701866,6,0,1,6,241.5,1271.7167061731484,-0.8090169943750019,17357.300999999996,5934.12,42761.36984085256,36.25442357080747,1.1794800642006227,24766.12333333334,27707.36666666667,0.05569350567500969,0.06599797058485672,24.56183646437888,7,7,2,2,IND
South Korea,2020,Frozen Food,10405.43,9767.52,186.44,349.28,66.96,22.01,Asia,Northern Hemisphere,186.44,27.964727439303715,26013575.0,0.07447771129180028,2,1,0,2,90.0,1269.2034320502764,1.0,7687.6528,698.56,27964.727439303715,29.79108451672011,0.9386945085402526,11518.893333333339,10544.716666666665,0.014097184643702252,0.01346678755752171,34.55779174301419,15,3,2,0,KOR
Italy,2021,Dairy Products,7672.5,7663.77,32.77,1010.83,59.17,11.85,Europe,Northern Hemisphere,32.77,7.581660615533769,19181250.0,0.018975742706488725,3,1,0,3,111.5,1269.8317505809944,0.8090169943749828,11978.3355,3032.4900000000002,7581.6606155337695,7.590297082595491,0.9988621700879766,21707.986666666668,22978.253333333338,0.008794620491407286,0.008822372476687181,84.43654330929368,9,2,3,0,ITA
Indonesia,2023,Beverages,37381.05,43622.57,28.71,607.0,51.34,17.549999999999997,Asia,Unknown,28.71,71.86584843492587,93452625.0,0.1539581960461285,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,10652.849999999999,3035.0,71865.84843492587,61.58327841845141,1.166970162689384,26267.656666666662,28391.94333333333,0.03638253886128519,0.04288161682757171,53.10650823723228,8,1,2,2,IDN
Italy,2023,Dairy Products,28851.4,25076.78,73.23,689.37,41.97,17.549999999999997,Europe,Unknown,73.23,36.376372630082535,72128500.0,0.1046295893351901,5,0,1,5,189.5,1271.0883876424302,-0.30901699437484287,12098.443499999998,3446.85,36376.37263008254,41.85183573407604,0.8691703002280651,22568.809999999998,21300.523333333334,0.02145906753934959,0.018313943280949117,46.91194516732669,9,2,3,2,ITA
Spain,2020,Bakery Items,10321.08,10177.93,35.41,902.14,50.09,13.48,Europe,Northern Hemisphere,35.41,11.28198505775157,25802700.0,0.028601658279202784,2,1,0,2,99.0,1269.2034320502764,1.0,12160.8472,1804.28,11281.98505775157,11.440663311681114,0.9861303274463525,8441.216666666662,7876.623333333328,0.009785906301161742,0.009836197007450328,80.37974504326748,16,0,3,0,ESP
Indonesia,2019,Grains & Cereals,7894.84,8079.17,23.45,430.07,62.57,6.77,Asia,Southern Hemisphere,23.45,18.7857093031367,19737100.0,0.04589276164345339,1,0,0,1,45.5,1268.5751135195585,0.8090169943749413,2911.5739,430.07,18785.7093031367,18.357104657381356,1.0233481615840219,21996.72666666666,23522.756666666664,0.013582390506509735,0.013907730424932735,76.90381899070694,8,5,2,1,IDN
India,2024,Prepared Food,11614.12,9959.1,75.21,1290.53,55.98,17.549999999999997,Asia,Unknown,75.21,7.7170619822863475,29035300.000000004,0.022498740827411996,6,0,1,6,241.5,1271.7167061731484,-0.8090169943750019,22648.801499999994,7743.18,7717.061982286347,8.999496330964798,0.8574993197934927,18723.383333333346,20090.856666666674,0.018039512056588127,0.015541537881451075,72.80627906364052,7,7,2,2,IND
USA,2018,Bakery Items,40283.96,33458.98,183.93,571.85,31.75,17.549999999999997,America,Unknown,183.93,58.510063827926906,100709900.0,0.17611244207397045,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,10035.967499999999,0.0,58510.063827926904,70.44497682958817,0.8305782251794511,23760.57333333333,20887.403333333335,0.03796512388541894,0.032072872247296096,19.43325347556177,19,0,1,2,USA
China,2024,Prepared Food,12738.75,11551.29,132.52,807.33,61.92,17.549999999999997,Asia,Unknown,132.52,14.308015309724649,31846875.0,0.03944715915424919,6,0,1,6,244.0,1271.7167061731484,-0.8090169943750019,14168.641499999998,4843.9800000000005,14308.01530972465,15.778863661699676,0.9067836326170151,20296.696666666667,22039.463333333333,0.013266947373801583,0.01182229422383715,51.5634923017849,4,7,2,2,CHN
Turkey,2018,Beverages,24278.95,25035.47,187.54,218.84,64.88,17.43,Europe,Northern Hemisphere,187.54,114.40079510144398,60697375.0,0.2773596006214586,0,0,0,0,20.0,1267.9467949888406,0.3090169943749612,3814.3812,0.0,114400.79510144397,110.94384024858344,1.031159502367277,25298.726666666673,23111.160000000003,0.02186432854962621,0.022752588363927663,13.358423962712484,17,1,3,0,TUR
South Korea,2024,Bakery Items,24536.44,24892.3,147.49,305.21,54.25,17.549999999999997,Asia,Unknown,147.49,81.55794371088759,61341100.0,0.20097998099669082,6,0,1,6,223.5,1271.7167061731484,-0.8090169943750019,5356.435499999999,1831.2599999999998,81557.94371088759,80.39199239867632,1.0145033264809402,16827.713333333337,16292.779999999999,0.029867443199772203,0.029985689992201428,18.61053447353188,15,0,2,2,KOR
Canada,2021,Prepared Food,12389.85,10564.07,175.53,348.95,56.96,35.05,America,Northern Hemisphere,175.53,30.273878779194728,30974625.0,0.08876522424416106,3,1,0,3,130.0,1269.8317505809944,0.8090169943749828,12230.697499999998,1046.85,30273.87877919473,35.50608969766442,0.8526390553557952,24575.79333333333,24594.673333333336,0.010248377777545623,0.008777844992344488,31.968677460954286,3,7,1,0,CAN
Germany,2021,Beverages,18818.08,18033.21,181.46,635.14,55.97,19.4,Europe,Northern Hemisphere,181.46,28.392496142582736,47045200.00000001,0.07407059860818088,3,1,0,3,151.0,1269.8317505809944,0.8090169943749828,12321.715999999999,1905.42,28392.496142582735,29.628239443272353,0.9582917066990893,24840.71666666667,27056.273333333334,0.017406028150509612,0.017261337200971373,34.26139197657209,6,1,3,0,DEU
Australia,2020,Grains & Cereals,30320.1,32226.91,30.64,675.78,41.38,46.82,Oceania,Southern Hemisphere,30.64,47.68846370120453,75800250.0,0.11216705140726271,2,1,0,2,75.0,1269.2034320502764,1.0,31640.0196,1351.56,47688.463701204535,44.86682056290509,1.0628893044548007,30633.709999999995,29323.92,0.040634593935700875,0.04421295439477336,55.099310248897574,1,5,4,1,AUS
USA,2020,Beverages,10418.23,11826.26,57.24,627.18,41.05,17.549999999999997,America,Unknown,57.24,18.856245415989033,26045574.999999996,0.04152807009152077,2,1,0,2,90.5,1269.2034320502764,1.0,11007.008999999998,1254.36,18856.245415989033,16.61122803660831,1.1351505965984625,27064.396666666664,24666.440000000002,0.015034737153484592,0.016504915030794477,68.10213173251698,19,1,1,2,USA
Saudi Arabia,2021,Prepared Food,13520.77,14479.32,161.71,887.31,53.37,30.03,Asia,Northern Hemisphere,161.71,16.31822023869899,33801925.0,0.03809483156957546,3,1,0,3,125.0,1269.8317505809944,0.8090169943749828,26645.919299999998,2661.93,16318.220238698992,15.237932627830185,1.070894631001045,15006.633333333331,17272.100000000002,0.01885417147029048,0.020048364797682697,45.47564492680123,13,7,2,0,SAU
Canada,2018,Beverages,2682.54,3086.07,61.92,707.37,56.4,35.84,America,Northern Hemisphere,61.92,4.362738029602613,6706350.0,0.009480681962763476,0,0,0,0,17.5,1267.9467949888406,0.3090169943749612,25352.1408,0.0,4362.738029602613,3.79227278510539,1.1504283253930976,17378.116666666665,17797.70666666667,0.0033413788467229434,0.003718676434746939,79.64710556003223,3,1,1,0,CAN
Mexico,2023,Grains & Cereals,47074.42,50848.46,128.51,124.8,64.75,17.549999999999997,America,Unknown,128.51,407.43958333333336,117686049.99999999,0.9429971955128204,5,0,1,5,192.5,1271.0883876424302,-0.30901699437484287,2190.24,624.0,407439.5833333334,377.1988782051282,1.0801717790681225,29420.80666666666,32668.89,0.055195809414512575,0.06010395024107437,5.730666666666671,11,5,1,2,MEX
USA,2021,Frozen Food,1329.45,1078.07,75.85,816.32,32.34,17.549999999999997,America,Unknown,75.85,1.3580268354685952,3323625.0,0.004071473196785574,3,1,0,3,119.5,1269.8317505809944,0.8090169943749828,14326.416,2448.96,1320.6463151705211,1.6285892787142298,0.810914287863402,17343.879999999997,15454.436666666668,0.0018899430351593802,0.0015296575957523344,78.53856020514831,19,3,1,2,USA
Italy,2021,Prepared Food,10144.0,10236.01,114.31,1040.3,50.05,11.85,Europe,Northern Hemisphere,114.31,9.839478996443335,25360000.0,0.0243775833894069,3,1,0,3,111.5,1269.8317505809944,0.8090169943749828,12327.554999999998,3120.8999999999996,9839.478996443335,9.751033355762761,1.0090703864353312,15555.966666666667,14325.519999999999,0.011627582960552038,0.011783481614805084,60.675069082636426,9,7,3,0,ITA
Canada,2022,Frozen Food,26936.48,27192.47,93.51,193.61,33.5,17.549999999999997,America,Unknown,93.51,140.4497185062755,67341200.0,0.3478188110118279,4,1,0,4,167.0,1270.4600691117123,0.30901699437502833,3397.8554999999997,774.44,140449.7185062755,139.12752440473116,1.009503468901653,14002.956666666665,13614.203333333337,0.03062034687383094,0.03173543162936392,24.194871339290323,3,3,1,2,CAN
Spain,2023,Prepared Food,47691.12,42560.6,97.16,476.43,39.74,17.549999999999997,Europe,Unknown,97.16,89.33232584010243,119227800.0,0.25025250299099555,5,0,1,5,216.0,1271.0883876424302,-0.30901699437484287,8361.3465,2382.15,89332.32584010242,100.10100119639822,0.892421901603485,23626.563333333328,21471.413333333327,0.04696695206520085,0.041689243532403226,29.075516487206936,16,7,3,2,ESP
Spain,2024,Beverages,11463.72,10968.53,40.79,727.11,50.16,17.549999999999997,Europe,Unknown,40.79,15.085104042029405,28659300.0,0.03941535668605851,6,0,1,6,255.5,1271.7167061731484,-0.8090169943750019,12760.780499999999,4362.66,15085.104042029405,15.766142674423401,0.9568037251433218,23158.639999999996,21235.68666666666,0.011627924196660103,0.010831404313082334,75.4439172339811,16,1,3,2,ESP
Australia,2021,Bakery Items,6608.38,6213.4,38.13,311.27,53.58,46.82,Oceania,Southern Hemisphere,38.13,19.96144826035275,16520950.0,0.053075946927105086,3,1,0,3,109.5,1269.8317505809944,0.8090169943749828,14573.661399999999,933.81,19961.44826035275,21.230378770842037,0.9402304346904989,26747.056666666667,24992.626666666663,0.007144346131968768,0.006588448973139213,71.67635698910912,1,0,4,1,AUS
Japan,2023,Dairy Products,47354.14,37996.01,103.25,350.58,50.0,17.549999999999997,Asia,Unknown,103.25,108.38042672143307,118385350.0,0.33768426607336416,5,0,1,5,195.0,1271.0883876424302,-0.30901699437484287,6152.678999999999,1752.8999999999999,108380.42672143306,135.07370642934566,0.8023798975126568,42258.37666666667,39323.54,0.0594924724417521,0.04978342721202608,22.205610702264817,10,2,2,2,JPN
Brazil,2023,Prepared Food,49231.61,45743.9,43.04,971.47,39.59,17.549999999999997,America,Unknown,43.04,47.087300688647105,123079025.0,0.12669359321440704,5,0,1,5,201.0,1271.0883876424302,-0.30901699437484287,17049.298499999997,4857.35,47087.300688647105,50.677437285762814,0.9291571004888932,30255.73,29517.463333333337,0.04313584517683729,0.040886424702175975,50.921051073802246,2,7,1,2,BRA
USA,2024,Prepared Food,28293.2,27917.29,136.94,1276.82,57.11,17.549999999999997,America,Unknown,136.94,21.864702933851287,70733000.0,0.055397785122413494,6,0,1,6,236.5,1271.7167061731484,-0.8090169943750019,22408.190999999995,7660.92,21864.702933851288,22.1591140489654,0.9867137686794,13346.959999999997,13607.206666666667,0.029923867653019524,0.0295911767589282,43.76027235893339,19,7,1,2,USA
